ПІБ,Пільги,Бал з математики,Бал з англійської,Бал з української,Рейтинг,Рішення
Ілля Іванниш,True,187,193,142,175.29999999999998,зараховано
Олексій Тетяниш,True,185,182,155,175.1,зараховано
Сергій Анниш,True,197,149,172,175.1,зараховано
Марія Оксаниш,True,184,190,148,175.00000000000003,зараховано
Петро Михайлиш,True,190,180,150,175.0,зараховано
Ігор Дмитришенко,True,162,172,195,174.9,зараховано
Іванна Іриниш,False,189,164,167,174.9,зараховано
Ярослав Ярославіш,True,180,154,189,174.89999999999998,зараховано
Оксана Товтиш,True,164,196,168,174.8,зараховано
Оксана Ярославиш,False,190,186,143,174.70000000000002,зараховано
Андрій Вікторіїш,True,192,186,140,174.60000000000002,зараховано
Оксана Максиміш,True,198,191,127,174.6,зараховано
Володимир Катериниш,True,177,174,172,174.6,зараховано
Віктор Людмилиш,False,200,195,120,174.5,зараховано
Юлія Олександріш,True,167,193,166,174.5,зараховано
Ярослав Алібіба,True,196,196,124,174.39999999999998,зараховано
Олександр Артеміш,True,189,198,131,174.3,зараховано
Ольга Катериниш,True,198,191,126,174.3,зараховано
Максим Ніниш,False,194,168,154,174.2,зараховано
Катерина Тетяниш,False,199,142,173,174.10000000000002,зараховано
Ганна Вікторіїш,False,172,181,170,174.1,зараховано
Ярослав Наталіїш,False,187,182,149,174.1,зараховано
Софія Романіш,False,190,140,187,174.1,зараховано
Ольга Ковтун,True,164,166,195,173.9,зараховано
Богдан Тетяниш,False,189,152,175,173.70000000000002,зараховано
Тетяна Богданіш,True,153,177,198,173.70000000000002,зараховано
Олександр Катериниш,False,191,161,163,173.6,зараховано
Ярослав Сергіїш,True,196,188,129,173.5,зараховано
Марія Дмитріш,True,200,135,176,173.3,зараховано
Олена Алібіба,True,179,177,162,173.3,зараховано
Олександр Оксаниш,True,169,194,158,173.20000000000002,зараховано
Дмитро Ковтун,False,169,175,177,173.20000000000002,зараховано
Тарас Ярославиш,False,196,134,182,173.2,зараховано
Людмила Катериниш,False,195,137,180,173.1,зараховано
Марія Вікторіїш,True,177,180,161,173.1,зараховано
Павло Ілляш,False,165,180,177,173.1,зараховано
Лідія Ілляш,False,179,166,172,173.0,зараховано
Ігор Іриниш,True,199,137,174,172.9,зараховано
Лідія Іваниш,False,192,170,150,172.8,зараховано
Артем Неборачко,False,200,122,187,172.7,зараховано
Ольга Анниш,True,182,184,149,172.7,зараховано
Лідія Анниш,False,170,164,185,172.7,зараховано
Анна Петріш,True,198,197,114,172.5,зараховано
Віктор Оксаниш,False,147,181,198,172.5,зараховано
Анна Загвойко,True,150,179,196,172.5,зараховано
Наталія Ковтун,False,185,161,167,172.4,зараховано
Михайло Ілляш,True,176,191,149,172.4,зараховано
Тетяна Іриниш,True,194,161,155,172.4,зараховано
Лідія Вікторіїш,False,178,140,197,172.3,зараховано
Михайло Іваниш,False,148,183,194,172.29999999999998,зараховано
Юлія Володимириш,False,192,172,146,172.2,зараховано
Юлія Максиміш,True,159,183,179,172.2,зараховано
Марта Тетяниш,True,165,178,176,172.2,зараховано
Володимир Іриниш,False,170,156,191,172.1,зараховано
Михайло Ковтун,False,199,184,124,172.0,зараховано
Оксана Ніниш,False,162,180,177,171.9,зараховано
Людмила Ігоріш,False,194,122,192,171.8,зараховано
Ілля Максиміш,True,190,178,141,171.7,зараховано
Катерина Володимириш,False,195,180,132,171.6,зараховано
Марта Анатоліїш,False,164,185,168,171.5,зараховано
Віктор Вікторіїш,True,200,127,178,171.5,зараховано
Анатолій Ніниш,False,157,179,183,171.4,зараховано
Іванна Дмитріш,False,187,148,174,171.39999999999998,зараховано
Софія Маріїш,True,187,197,125,171.39999999999998,зараховано
Іванна Олександріш,False,198,195,112,171.29999999999998,зараховано
Олена Катериниш,True,185,196,128,171.20000000000002,зараховано
Роман Ігоріш,False,188,154,166,171.2,зараховано
Дмитро Ярославиш,False,182,189,139,171.2,зараховано
Дмитро Вікторіїш,False,181,136,193,171.1,зараховано
Олексій Наталіїш,True,177,163,171,171.0,зараховано
Наталія Людмилиш,True,174,145,193,171.0,зараховано
Олексій Олениш,False,185,186,137,170.9,зараховано
Максим Оксаниш,False,156,170,191,170.7,зараховано
Михайло Катериниш,True,164,160,190,170.60000000000002,зараховано
Ганна Загвойко,True,152,182,184,170.6,зараховано
Володимир Ярославиш,False,191,135,179,170.6,зараховано
Ярослав Іванниш,True,182,144,182,170.6,зараховано
Андрій Артеміш,True,170,162,180,170.6,зараховано
Анна Ковтун,True,182,181,145,170.6,зараховано
Тарас Вікторіїш,True,166,161,186,170.5,зараховано
Андрій Маріїш,True,142,199,180,170.5,зараховано
Ганна Ігоріш,False,195,169,139,170.39999999999998,зараховано
Андрій Богданіш,False,188,122,195,170.3,зараховано
Марія Ігоріш,True,181,178,148,170.20000000000002,зараховано
Вікторія Ілляш,False,154,194,168,170.2,зараховано
Оксана Оксаниш,True,192,176,135,170.10000000000002,зараховано
Анатолій Романіш,True,174,142,193,170.10000000000002,зараховано
Ірина Загвойко,True,168,181,162,170.1,зараховано
Андрій Тарасіш,False,188,134,182,170.0,зараховано
Володимир Сергіїш,True,190,196,117,169.9,зараховано
Олег Сергіїш,False,187,158,159,169.89999999999998,зараховано
Олег Романіш,False,171,157,181,169.8,зараховано
Анна Олениш,False,150,189,177,169.79999999999998,зараховано
Юлія Наталіїш,False,177,136,194,169.79999999999998,зараховано
Вікторія Оксаниш,True,163,154,194,169.6,зараховано
Тетяна Олександріш,False,172,166,170,169.6,зараховано
Олег Максиміш,True,175,173,159,169.6,зараховано
Ярослав Володимириш,False,174,183,150,169.5,зараховано
Роман Іриниш,False,140,196,182,169.4,зараховано
Артем Олексіїш,False,182,188,134,169.39999999999998,зараховано
Марта Ігоріш,False,151,170,193,169.3,зараховано
Вікторія Сергіїш,False,190,177,134,169.29999999999998,зараховано
Анастасія Іванниш,True,197,130,171,169.10000000000002,зараховано
Вікторія Ігоріш,False,140,195,182,169.1,зараховано
Михайло Анатоліїш,True,187,157,157,169.0,зараховано
Віктор Ганниш,False,193,153,152,168.7,зараховано
Марія Іриниш,True,181,136,185,168.7,зараховано
Катерина Дмитришенко,True,169,196,141,168.7,зараховано
Роман Богданіш,True,154,175,182,168.7,зараховано
Марія Ніниш,False,197,144,155,168.5,зараховано
Ніна Алібіба,False,190,136,172,168.4,зараховано
Ілля Тетяниш,True,178,179,145,168.4,зараховано
Олег Олександріш,False,166,182,158,168.4,зараховано
Ілля Михайлиш,True,196,139,161,168.39999999999998,зараховано
Михайло Іриниш,True,189,150,159,168.3,зараховано
Артем Софіїш,True,140,196,178,168.2,зараховано
Юлія Романіш,False,178,150,173,168.1,зараховано
Іван Людмилиш,True,159,200,148,168.0,зараховано
Ольга Неборачко,True,189,141,167,168.0,зараховано
Іванна Сергіїш,False,189,192,116,168.0,зараховано
Ніна Тетяниш,False,143,189,180,167.9,зараховано
Петро Лідіїш,False,185,155,158,167.9,зараховано
Олексій Вікторіш,False,182,118,199,167.89999999999998,зараховано
Ольга Сергіїш,False,191,191,114,167.89999999999998,зараховано
Іванна Оксаниш,False,199,169,125,167.8,зараховано
Олексій Іваниш,True,196,166,132,167.79999999999998,зараховано
Ніна Наталіїш,False,187,118,192,167.79999999999998,зараховано
Ярослава Михайлиш,False,186,172,139,167.7,зараховано
Сергій Алібіба,False,200,134,158,167.6,зараховано
Михайло Ганниш,True,149,179,181,167.6,зараховано
Лідія Людмилиш,False,161,170,174,167.6,зараховано
Володимир Анатоліїш,True,194,188,112,167.6,зараховано
Володимир Іваниш,True,187,121,188,167.5,зараховано
Анастасія Наталіїш,True,183,116,198,167.4,зараховано
Богдан Оксаниш,False,162,153,189,167.39999999999998,зараховано
Андрій Іванниш,False,164,154,185,167.3,зараховано
Тарас Андріїш,False,197,159,136,167.3,зараховано
Наталія Олегіш,False,191,124,179,167.29999999999998,зараховано
Лідія Тарасіш,True,187,166,142,167.2,зараховано
Марія Іванниш,True,169,188,144,167.2,зараховано
Павло Володимириш,True,180,147,170,167.1,зараховано
Володимир Товтиш,True,147,193,167,166.8,зараховано
Андрій Ігоріш,False,171,164,164,166.79999999999998,зараховано
Катерина Андріїш,False,149,167,190,166.7,зараховано
Софія Ковтун,False,185,183,126,166.7,зараховано
Марта Людмилиш,False,146,175,186,166.7,зараховано
Тетяна Вікторіш,True,188,149,156,166.7,зараховано
Андрій Оксаниш,False,199,144,146,166.60000000000002,зараховано
Ірина Романіш,True,166,195,139,166.6,зараховано
Марта Ярославиш,True,192,109,190,166.5,зараховано
Іванна Романіш,False,194,194,102,166.4,зараховано
Петро Романіш,False,158,158,186,166.39999999999998,зараховано
Роман Максиміш,True,140,174,194,166.39999999999998,зараховано
Володимир Дмитріш,False,160,168,173,166.3,зараховано
Ілля Людмилиш,False,169,154,175,166.3,зараховано
Сергій Ганниш,False,157,151,194,166.29999999999998,зараховано
Ілля Петріш,True,145,189,172,166.29999999999998,зараховано
Софія Сергіїш,True,144,171,191,166.2,зараховано
Ольга Алібіба,False,191,132,167,166.1,зараховано
Ярослава Наталіїш,True,190,162,138,166.0,зараховано
Наталія Ярославіш,False,161,176,162,165.8,зараховано
Ярослава Романіш,True,194,128,166,165.8,зараховано
Богдан Іриниш,False,197,135,155,165.8,зараховано
Петро Олегіш,False,164,161,173,165.8,зараховано
Іван Вікторіш,False,197,110,180,165.8,зараховано
Вікторія Тетяниш,True,179,140,174,165.8,зараховано
Софія Іванниш,False,175,123,196,165.7,зараховано
Дмитро Іванниш,True,175,135,184,165.7,зараховано
Богдан Іваниш,True,151,180,171,165.7,зараховано
Ігор Катериниш,True,172,123,200,165.7,зараховано
Ярослав Лідіїш,False,154,163,184,165.7,зараховано
Ганна Людмилиш,True,198,145,143,165.6,зараховано
Максим Неборачко,True,141,172,192,165.6,зараховано
Ярослава Лідіїш,True,147,167,189,165.6,зараховано
Михайло Оксаниш,True,170,197,128,165.5,зараховано
Анастасія Ніниш,False,164,179,154,165.5,зараховано
Ярослава Неборачко,True,173,133,188,165.5,зараховано
Анатолій Ілляш,False,199,141,145,165.4,зараховано
Богдан Наталіїш,True,150,158,193,165.3,зараховано
Юлія Алібіба,True,177,165,150,165.3,зараховано
Ганна Ніниш,False,190,151,146,165.1,зараховано
Анастасія Сергіїш,True,178,118,195,165.1,зараховано
Оксана Дмитріш,False,178,186,127,165.1,зараховано
Дмитро Олексіїш,True,169,174,150,164.8,зараховано
Тарас Ярославіш,False,199,101,183,164.8,зараховано
Оксана Катериниш,True,192,163,130,164.70000000000002,зараховано
Ніна Дмитришенко,True,189,181,116,164.7,зараховано
Тарас Романіш,False,195,137,152,164.7,зараховано
Ніна Вікторіїш,False,168,126,199,164.7,зараховано
Анатолій Катериниш,True,182,109,197,164.6,зараховано
Тетяна Неборачко,False,164,158,172,164.6,зараховано
Вікторія Іриниш,True,178,127,184,164.5,зараховано
Софія Лідіїш,False,190,173,122,164.5,зараховано
Максим Анатоліїш,False,169,140,183,164.5,зараховано
Богдан Олегіш,True,147,179,173,164.4,зараховано
Павло Ковтун,False,199,132,150,164.20000000000002,зараховано
Роман Алібіба,True,190,164,130,164.2,зараховано
Наталія Михайлиш,True,181,106,200,164.2,зараховано
Роман Тетяниш,False,168,158,165,164.1,зараховано
Марта Наталіїш,False,170,185,135,164.0,зараховано
Богдан Вікторіш,True,194,114,174,164.0,зараховано
Катерина Неборачко,True,146,180,172,164.0,зараховано
Петро Ніниш,False,142,190,167,163.9,зараховано
Віктор Іванниш,False,160,168,165,163.9,зараховано
Іван Ганниш,False,199,129,152,163.9,зараховано
Іванна Ігоріш,True,151,161,184,163.9,зараховано
Ніна Ярославиш,False,168,137,185,163.8,зараховано
Ярослав Андріїш,True,168,154,168,163.8,зараховано
Олег Олениш,False,174,200,114,163.8,зараховано
Олег Наталіїш,True,155,195,144,163.7,зараховано
Ірина Катериниш,True,148,194,154,163.6,зараховано
Ольга Олегіш,True,187,125,171,163.6,зараховано
Іванна Маріїш,True,187,140,156,163.6,зараховано
Олег Людмилиш,False,163,196,132,163.6,зараховано
Ніна Артеміш,True,178,143,165,163.6,зараховано
Олексій Алібіба,False,198,171,110,163.5,зараховано
Петро Алібіба,False,148,159,188,163.3,зараховано
Тетяна Алібіба,False,144,196,156,163.2,зараховано
Анастасія Дмитріш,False,173,139,174,163.1,зараховано
Михайло Дмитришенко,True,143,198,155,163.1,зараховано
Максим Людмилиш,True,152,174,167,163.1,зараховано
Богдан Анниш,False,184,124,174,163.0,зараховано
Павло Ігоріш,True,190,140,150,163.0,зараховано
Дмитро Лідіїш,False,177,129,178,162.9,зараховано
Ольга Ганниш,False,195,146,137,162.9,зараховано
Наталія Неборачко,True,150,187,156,162.89999999999998,зараховано
Артем Богданіш,True,195,142,141,162.89999999999998,зараховано
Марта Дмитришенко,False,194,180,104,162.8,зараховано
Лідія Наталіїш,False,173,157,155,162.8,зараховано
Тетяна Андріїш,False,182,110,190,162.8,зараховано
Людмила Іваниш,True,170,166,150,162.8,зараховано
Іван Неборачко,True,171,118,196,162.60000000000002,зараховано
Софія Артеміш,False,189,169,121,162.60000000000002,зараховано
Михайло Ігоріш,False,195,153,129,162.6,зараховано
Людмила Ярославиш,False,155,187,148,162.5,зараховано
Дмитро Неборачко,False,191,121,166,162.5,зараховано
Іванна Анатоліїш,False,196,130,150,162.4,зараховано
Анастасія Андріїш,False,151,155,185,162.4,зараховано
Ірина Іванниш,True,188,199,198,194.3,зараховано
Павло Петріш,True,196,188,197,193.9,зараховано
Анатолій Олениш,True,182,199,200,192.5,зараховано
Ганна Катериниш,True,186,197,191,190.8,зараховано
Юлія Катериниш,True,200,197,170,190.1,зараховано
Лідія Анатоліїш,True,199,200,168,190.00000000000003,зараховано
Ніна Олениш,True,192,176,200,189.60000000000002,зараховано
Дмитро Володимириш,True,200,174,191,189.5,зараховано
Ганна Іваниш,True,194,192,175,187.7,зараховано
Андрій Наталіїш,True,200,178,177,186.5,зараховано
Віктор Ніниш,True,175,190,196,185.8,зараховано
Михайло Петріш,True,191,185,179,185.6,зараховано
Ярослава Артеміш,True,181,193,183,185.20000000000002,зараховано
Ірина Андріїш,True,167,198,196,185.0,зараховано
Петро Товтиш,True,198,189,162,184.5,зараховано
Сергій Оксаниш,True,174,199,183,184.20000000000002,зараховано
Сергій Софіїш,True,197,187,161,183.2,зараховано
Софія Наталіїш,True,191,190,165,182.9,зараховано
Іван Софіїш,True,194,150,200,182.60000000000002,зараховано
Ольга Оксаниш,True,184,195,168,182.50000000000003,зараховано
Оксана Людмилиш,True,199,200,141,181.90000000000003,зараховано
Ілля Неборачко,True,194,192,155,181.7,зараховано
Анатолій Тарасіш,True,196,171,171,181.0,зараховано
Марта Артеміш,True,200,200,136,180.8,зараховано
Тарас Софіїш,True,172,186,187,180.7,зараховано
Андрій Ярославіш,True,162,191,195,180.6,зараховано
Іван Романіш,True,199,179,157,180.4,зараховано
Артем Романіш,True,199,199,136,180.10000000000002,зараховано
Анатолій Іриниш,True,169,181,193,179.8,зараховано
Лідія Тетяниш,True,193,189,153,179.8,зараховано
Максим Катериниш,True,198,141,194,179.7,зараховано
Артем Ковтун,True,170,174,196,179.0,зараховано
Олена Загвойко,True,193,145,194,178.9,зараховано
Ігор Софіїш,True,168,184,188,178.8,зараховано
Оксана Володимириш,True,193,188,150,178.6,зараховано
Наталія Артеміш,True,138,200,192,172.8,незараховано
Олексій Михайлиш,False,134,200,180,167.6,незараховано
Оксана Іваниш,False,119,199,200,167.3,незараховано
Анатолій Оксаниш,False,133,197,183,167.2,незараховано
Оксана Маріїш,True,129,189,196,167.1,незараховано
Ольга Дмитріш,False,127,198,187,166.3,незараховано
Ірина Михайлиш,True,120,194,199,165.89999999999998,незараховано
Ірина Олениш,True,116,198,199,165.5,незараховано
Артем Маріїш,False,135,199,172,165.29999999999998,незараховано
Ярослава Олексіїш,False,116,196,200,165.2,незараховано
Ганна Андріїш,True,139,192,172,164.79999999999998,незараховано
Олена Тарасіш,True,138,197,168,164.7,незараховано
Олег Софіїш,True,116,198,196,164.60000000000002,незараховано
Лідія Максиміш,True,127,177,199,163.6,незараховано
Андрій Дмитріш,False,139,196,164,163.6,незараховано
Людмила Іриниш,False,131,199,169,162.79999999999998,незараховано
Віктор Катериниш,False,126,187,187,162.6,незараховано
Сергій Максиміш,False,138,200,158,162.6,незараховано
Марія Олександріш,True,132,197,168,162.3,незараховано
Олександр Іванниш,True,138,193,164,162.29999999999998,незараховано
Тарас Ковтун,True,168,163,154,162.29999999999998,незараховано
Тетяна Володимириш,True,150,184,157,162.29999999999998,незараховано
Максим Загвойко,True,160,131,196,162.1,незараховано
Роман Дмитришенко,True,139,180,175,162.1,незараховано
Іван Ілляш,False,169,138,177,162.1,незараховано
Оксана Олегіш,False,186,140,152,162.0,незараховано
Тетяна Олениш,False,153,168,168,162.0,незараховано
Артем Артеміш,False,140,166,187,161.9,незараховано
Ілля Ковтун,True,179,145,156,161.9,незараховано
Олена Ніниш,True,116,196,189,161.9,незараховано
Андрій Ганниш,True,176,192,113,161.9,незараховано
Ганна Михайлиш,False,169,147,167,161.8,незараховано
Павло Неборачко,True,181,120,178,161.8,незараховано
Ігор Наталіїш,True,154,152,182,161.8,незараховано
Анастасія Максиміш,False,145,165,181,161.8,незараховано
Анна Лідіїш,True,130,183,183,161.8,незараховано
Марія Ілляш,False,187,180,110,161.8,незараховано
Наталія Дмитришенко,False,187,188,102,161.79999999999998,незараховано
Павло Ярославиш,True,120,185,194,161.7,незараховано
Анастасія Іриниш,False,123,192,183,161.7,незараховано
Павло Людмилиш,False,129,199,168,161.7,незараховано
Олена Наталіїш,False,177,132,171,161.7,незараховано
Оксана Алібіба,False,159,191,136,161.7,незараховано
Ярослава Ілляш,True,195,143,136,161.7,незараховано
Ольга Богданіш,True,146,193,151,161.60000000000002,незараховано
Іванна Олениш,True,146,200,144,161.6,незараховано
Ольга Михайлиш,False,143,175,173,161.6,незараховано
Ніна Ігоріш,True,191,127,157,161.6,незараховано
Дмитро Ніниш,True,175,123,182,161.5,незараховано
Михайло Артеміш,True,193,155,126,161.5,незараховано
Вікторія Тарасіш,False,160,166,159,161.5,незараховано
Ярослава Оксаниш,True,172,163,146,161.5,незараховано
Іван Олексіїш,False,190,117,168,161.5,незараховано
Сергій Олексіїш,True,136,165,192,161.5,незараховано
Софія Дмитришенко,True,198,102,172,161.4,незараховано
Анастасія Ігоріш,False,140,195,156,161.3,незараховано
Вікторія Товтиш,False,161,135,188,161.3,незараховано
Артем Ганниш,False,161,174,149,161.29999999999998,незараховано
Ярослав Олексіїш,False,169,127,185,161.20000000000002,незараховано
Іван Олександріш,False,147,150,191,161.10000000000002,незараховано
Олена Сергіїш,False,111,191,198,161.1,незараховано
Роман Іваниш,False,174,173,132,161.1,незараховано
Сергій Романіш,True,198,149,124,161.1,незараховано
Юлія Вікторіїш,False,164,147,171,161.0,незараховано
Катерина Ярославіш,True,197,136,138,161.0,незараховано
Олег Ніниш,False,155,165,165,161.0,незараховано
Ярослава Тетяниш,True,169,134,177,160.9,незараховано
Тетяна Анниш,False,145,167,176,160.89999999999998,незараховано
Ніна Неборачко,True,147,177,163,160.8,незараховано
Олена Петріш,False,183,156,136,160.8,незараховано
Людмила Ковтун,True,198,129,143,160.8,незараховано
Софія Анниш,False,176,198,103,160.70000000000002,незараховано
Ілля Володимириш,False,197,105,168,160.70000000000002,незараховано
Петро Тетяниш,False,164,159,158,160.70000000000002,незараховано
Наталія Катериниш,True,191,171,110,160.7,незараховано
Роман Петріш,True,152,187,146,160.7,незараховано
Богдан Ніниш,False,179,121,176,160.7,незараховано
Олег Дмитришенко,True,145,177,165,160.6,незараховано
Дмитро Загвойко,False,154,176,154,160.6,незараховано
Тарас Максиміш,True,186,141,146,160.5,незараховано
Оксана Іриниш,False,147,156,183,160.5,незараховано
Роман Людмилиш,True,195,147,128,160.5,незараховано
Петро Наталіїш,False,117,193,186,160.5,незараховано
Богдан Ярославіш,True,168,164,147,160.5,незараховано
Павло Анатоліїш,True,195,143,132,160.5,незараховано
Ірина Олександріш,True,158,190,134,160.4,незараховано
Іванна Ярославіш,False,197,164,108,160.4,незараховано
Юлія Анниш,False,188,166,118,160.4,незараховано
Ігор Анатоліїш,True,170,167,141,160.39999999999998,незараховано
Юлія Олексіїш,True,169,194,115,160.3,незараховано
Дмитро Анатоліїш,False,171,196,110,160.2,незараховано
Лідія Романіш,False,114,194,188,160.2,незараховано
Ігор Андріїш,False,165,199,115,160.2,незараховано
Анатолій Ганниш,False,180,181,113,160.2,незараховано
Ірина Товтиш,False,161,119,200,160.1,незараховано
Олександр Тетяниш,True,185,158,129,160.1,незараховано
Роман Романіш,True,160,140,180,160.0,незараховано
Роман Михайлиш,True,178,163,133,160.0,незараховано
Тарас Вікторіш,False,124,168,200,160.0,незараховано
Михайло Маріїш,False,180,181,112,159.9,незараховано
Олена Оксаниш,False,153,186,143,159.9,незараховано
Іван Анатоліїш,False,168,121,188,159.9,незараховано
Анастасія Вікторіш,True,183,183,106,159.89999999999998,незараховано
Віктор Михайлиш,False,156,134,191,159.89999999999998,незараховано
Тарас Маріїш,False,143,154,188,159.8,незараховано
Анна Ганниш,False,161,192,126,159.8,незараховано
Роман Ковтун,False,161,173,145,159.8,незараховано
Володимир Дмитришенко,True,164,157,157,159.8,незараховано
Сергій Іриниш,True,197,168,102,159.8,незараховано
Марія Лідіїш,False,140,159,187,159.79999999999998,незараховано
Наталія Іванниш,True,142,196,147,159.7,незараховано
Лідія Загвойко,True,157,153,170,159.7,незараховано
Петро Ігоріш,True,175,115,184,159.7,незараховано
Марія Михайлиш,True,126,193,171,159.60000000000002,незараховано
Павло Оксаниш,False,165,187,125,159.6,незараховано
Роман Артеміш,False,166,162,148,159.4,незараховано
Андрій Олександріш,False,163,161,153,159.4,незараховано
Людмила Ярославіш,True,194,165,107,159.20000000000002,незараховано
Ірина Неборачко,True,196,151,118,159.1,незараховано
Олена Товтиш,True,190,124,153,159.1,незараховано
Олег Олегіш,False,192,142,132,159.0,незараховано
Максим Олениш,False,165,127,183,159.0,незараховано
Наталія Олександріш,True,174,183,115,159.0,незараховано
Богдан Романіш,False,188,142,137,158.9,незараховано
Марта Лідіїш,True,149,162,169,158.9,незараховано
Ярослава Максиміш,True,157,183,137,158.8,незараховано
Анатолій Тетяниш,False,199,138,126,158.8,незараховано
Анна Неборачко,True,106,189,199,158.79999999999998,незараховано
Лідія Катериниш,True,177,130,163,158.7,незараховано
Ганна Іриниш,True,165,151,158,158.7,незараховано
Катерина Олександріш,True,132,162,191,158.7,незараховано
Віктор Олениш,True,194,139,131,158.60000000000002,незараховано
Олександр Іваниш,True,140,181,161,158.6,незараховано
Анастасія Лідіїш,False,170,158,144,158.6,незараховано
Марта Богданіш,True,124,171,192,158.5,незараховано
Володимир Тетяниш,True,172,103,196,158.5,незараховано
Ярослав Тетяниш,True,142,197,142,158.5,незараховано
Олексій Ковтун,True,172,156,143,158.5,незараховано
Олексій Тарасіш,False,180,161,127,158.4,незараховано
Олена Ярославіш,False,143,169,168,158.3,незараховано
Ірина Олегіш,False,128,198,159,158.29999999999998,незараховано
Андрій Ярославиш,True,101,199,194,158.29999999999998,незараховано
Роман Олексіїш,False,167,126,179,158.29999999999998,незараховано
Наталія Ганниш,False,142,182,156,158.2,незараховано
Іванна Петріш,False,145,175,159,158.2,незараховано
