ПІБ,Пільги,Бал з математики,Бал з англійської,Бал з української,Рейтинг,Рішення
Ірина Алібіба,False,197,143,168,172.10000000000002,зараховано
Павло Ігоріш,False,176,156,183,172.1,зараховано
Марія Ніниш,False,170,199,148,172.1,зараховано
Ганна Софіїш,False,188,153,170,172.1,зараховано
Тетяна Андріїш,False,174,143,198,171.9,зараховано
Віктор Наталіїш,True,165,177,176,171.89999999999998,зараховано
Катерина Іванниш,False,161,180,178,171.8,зараховано
Людмила Людмилиш,True,173,186,156,171.8,зараховано
Петро Іванниш,False,200,195,111,171.8,зараховано
Сергій Неборачко,False,148,179,196,171.7,зараховано
Олег Максиміш,True,192,148,168,171.60000000000002,зараховано
Юлія Загвойко,True,183,183,145,171.6,зараховано
Анна Софіїш,True,195,149,163,171.6,зараховано
Лідія Вікторіїш,False,194,176,137,171.5,зараховано
Андрій Іванниш,True,190,198,120,171.4,зараховано
Лідія Товтиш,True,184,180,146,171.4,зараховано
Наталія Тетяниш,True,193,190,124,171.39999999999998,зараховано
Андрій Ганниш,True,186,178,145,171.3,зараховано
Ольга Алібіба,True,183,183,144,171.29999999999998,зараховано
Олег Дмитріш,False,173,196,144,171.2,зараховано
Павло Романіш,True,176,195,141,171.2,зараховано
Лідія Анатоліїш,False,199,165,140,171.10000000000002,зараховано
Олександр Іваниш,True,196,128,181,171.10000000000002,зараховано
Олексій Іриниш,True,190,164,153,171.1,зараховано
Віктор Романіш,True,162,162,192,171.0,зараховано
Ярослав Олексіїш,False,188,160,159,170.9,зараховано
Людмила Іванниш,True,143,190,189,170.9,зараховано
Анатолій Ярославіш,True,155,164,199,170.89999999999998,зараховано
Михайло Ніниш,True,189,193,124,170.7,зараховано
Ольга Олексіїш,True,141,192,189,170.7,зараховано
Наталія Іваниш,False,182,173,153,170.6,зараховано
Дмитро Ковтун,False,170,200,142,170.6,зараховано
Ілля Романіш,True,165,176,172,170.4,зараховано
Михайло Вікторіш,False,186,120,200,170.4,зараховано
Петро Вікторіш,True,177,184,148,170.4,зараховано
Богдан Дмитришенко,True,198,196,108,170.4,зараховано
Ігор Анатоліїш,True,195,198,110,170.4,зараховано
Петро Ярославиш,False,182,162,163,170.3,зараховано
Анатолій Наталіїш,False,194,118,191,170.3,зараховано
Ольга Вікторіїш,True,149,196,173,170.3,зараховано
Олег Тетяниш,False,199,186,116,170.2,зараховано
Віктор Ілляш,True,192,125,186,170.10000000000002,зараховано
Ольга Тарасіш,False,156,200,159,170.1,зараховано
Ярослав Неборачко,False,156,167,192,170.1,зараховано
Ольга Максиміш,False,191,166,146,170.0,зараховано
Софія Ярославіш,False,148,191,178,169.9,зараховано
Лідія Олексіїш,True,145,182,191,169.89999999999998,зараховано
Людмила Дмитріш,True,189,196,118,169.8,зараховано
Анастасія Ганниш,False,157,194,162,169.6,зараховано
Ярослав Алібіба,True,175,155,177,169.6,зараховано
Сергій Романіш,True,145,200,172,169.6,зараховано
Михайло Іванниш,True,150,172,193,169.5,зараховано
Ніна Загвойко,False,192,130,179,169.5,зараховано
Олег Ніниш,False,197,103,199,169.4,зараховано
Марія Дмитришенко,False,151,182,181,169.3,зараховано
Іванна Володимириш,False,148,170,197,169.3,зараховано
Олег Іваниш,False,175,144,187,169.29999999999998,зараховано
Олексій Тетяниш,False,192,121,187,169.20000000000002,зараховано
Іван Андріїш,False,168,155,185,169.2,зараховано
Тарас Олениш,True,168,200,140,169.2,зараховано
Юлія Іванниш,False,200,180,117,169.1,зараховано
Марта Володимириш,False,199,159,139,169.0,зараховано
Андрій Ігоріш,False,157,172,182,169.0,зараховано
Богдан Анниш,True,189,138,173,168.9,зараховано
Ігор Максиміш,True,150,173,190,168.9,зараховано
Дмитро Ярославіш,False,180,171,152,168.9,зараховано
Іван Тарасіш,False,177,163,164,168.89999999999998,зараховано
Андрій Маріїш,True,194,151,153,168.8,зараховано
Наталія Олениш,False,155,173,183,168.8,зараховано
Дмитро Катериниш,False,155,167,189,168.79999999999998,зараховано
Олег Оксаниш,False,181,147,174,168.7,зараховано
Ігор Дмитріш,True,190,185,124,168.7,зараховано
Андрій Михайлиш,True,191,176,131,168.5,зараховано
Олександр Богданіш,True,164,197,146,168.5,зараховано
Ярослава Тетяниш,True,174,160,169,168.3,зараховано
Ярослава Маріїш,False,159,182,167,168.3,зараховано
Ілля Катериниш,False,144,175,194,168.29999999999998,зараховано
Ірина Максиміш,False,179,157,165,168.20000000000002,зараховано
Ілля Максиміш,True,158,169,181,168.2,зараховано
Іван Дмитріш,False,173,165,165,168.2,зараховано
Катерина Вікторіїш,False,166,176,163,168.1,зараховано
Ганна Ярославиш,False,198,168,128,168.0,зараховано
Ілля Ігоріш,False,179,186,135,167.9,зараховано
Ігор Іриниш,True,167,171,166,167.89999999999998,зараховано
Олена Іванниш,False,146,179,186,167.89999999999998,зараховано
Артем Дмитришенко,True,178,165,157,167.8,зараховано
Павло Оксаниш,True,172,158,172,167.79999999999998,зараховано
Олена Загвойко,True,198,132,163,167.70000000000002,зараховано
Дмитро Ганниш,True,192,163,140,167.70000000000002,зараховано
Лідія Вікторіш,False,195,124,175,167.7,зараховано
Олена Тарасіш,False,165,187,152,167.7,зараховано
Ірина Ілляш,False,174,163,164,167.7,зараховано
Максим Неборачко,False,192,172,131,167.7,зараховано
Ольга Людмилиш,False,191,156,148,167.6,зараховано
Сергій Андріїш,False,182,118,198,167.6,зараховано
Людмила Товтиш,True,194,196,104,167.6,зараховано
Павло Неборачко,False,200,154,138,167.6,зараховано
Богдан Іванниш,False,163,187,154,167.5,зараховано
Ганна Богданіш,True,185,140,171,167.3,зараховано
Анна Ніниш,False,200,131,160,167.3,зараховано
Ганна Ніниш,True,158,164,183,167.3,зараховано
Ігор Оксаниш,True,175,177,147,167.2,зараховано
Іванна Наталіїш,False,184,166,146,167.2,зараховано
Тарас Анатоліїш,True,183,186,127,167.1,зараховано
Андрій Наталіїш,True,156,151,198,167.1,зараховано
Катерина Загвойко,True,165,152,185,167.1,зараховано
Ігор Наталіїш,False,170,131,199,167.0,зараховано
Юлія Олегіш,True,194,140,158,167.0,зараховано
Анатолій Андріїш,True,190,180,123,166.9,зараховано
Ярослава Максиміш,True,187,140,167,166.9,зараховано
Олег Петріш,True,169,131,200,166.9,зараховано
Анатолій Іваниш,True,193,195,104,166.89999999999998,зараховано
Ніна Ярославіш,True,172,188,139,166.89999999999998,зараховано
Іванна Оксаниш,False,144,167,197,166.8,зараховано
Людмила Петріш,True,167,140,193,166.7,зараховано
Володимир Оксаниш,False,188,113,192,166.7,зараховано
Марта Ярославиш,False,166,148,186,166.60000000000002,зараховано
Тетяна Олександріш,False,190,146,156,166.6,зараховано
Михайло Олениш,True,160,159,183,166.6,зараховано
Ніна Софіїш,False,156,183,164,166.5,зараховано
Анна Олегіш,False,176,147,173,166.4,зараховано
Максим Артеміш,True,152,183,169,166.4,зараховано
Анатолій Артеміш,True,167,165,167,166.4,зараховано
Анна Товтиш,False,194,174,122,166.4,зараховано
Анатолій Ярославиш,False,187,182,123,166.3,зараховано
Роман Іванниш,False,162,160,178,166.2,зараховано
Павло Тарасіш,False,177,185,133,166.2,зараховано
Олег Михайлиш,False,155,189,158,166.1,зараховано
Людмила Катериниш,True,175,182,138,166.0,зараховано
Вікторія Дмитріш,True,199,184,104,166.0,зараховано
Людмила Михайлиш,True,193,124,172,166.0,зараховано
Андрій Олексіїш,False,190,157,143,166.0,зараховано
Лідія Олександріш,True,148,184,172,166.0,зараховано
Олексій Загвойко,True,150,179,174,165.89999999999998,зараховано
Ярослава Товтиш,True,150,174,179,165.89999999999998,зараховано
Марія Петріш,False,194,125,169,165.8,зараховано
Олена Михайлиш,False,164,195,139,165.8,зараховано
Володимир Катериниш,False,191,190,108,165.8,зараховано
Володимир Вікторіїш,False,176,159,159,165.79999999999998,зараховано
Вікторія Ярославиш,True,173,138,184,165.79999999999998,зараховано
Павло Іваниш,True,160,149,190,165.7,зараховано
Іван Володимириш,False,164,175,158,165.5,зараховано
Максим Ганниш,True,167,198,131,165.5,зараховано
Іванна Олексіїш,True,166,168,162,165.4,зараховано
Ганна Петріш,False,196,142,148,165.4,зараховано
Вікторія Михайлиш,True,172,165,157,165.4,зараховано
Ілля Анниш,True,185,108,196,165.2,зараховано
Наталія Дмитришенко,True,196,178,111,165.10000000000002,зараховано
Іван Іваниш,True,160,190,147,165.1,зараховано
Наталія Ілляш,True,194,174,117,164.9,зараховано
Вікторія Максиміш,False,185,136,167,164.9,зараховано
Ярослав Оксаниш,True,160,146,190,164.8,зараховано
Вікторія Катериниш,False,154,155,189,164.79999999999998,зараховано
Тетяна Петріш,False,145,167,189,164.79999999999998,зараховано
Іван Сергіїш,False,171,154,167,164.7,зараховано
Ніна Ігоріш,True,183,164,141,164.7,зараховано
Олександр Ярославиш,False,164,161,169,164.6,зараховано
Володимир Андріїш,False,150,195,153,164.4,зараховано
Ілля Людмилиш,False,180,172,136,164.39999999999998,зараховано
Тарас Богданіш,True,168,138,186,164.39999999999998,зараховано
Ярослава Дмитріш,False,194,151,138,164.3,зараховано
Ольга Олегіш,False,170,161,159,164.0,зараховано
Віктор Вікторіїш,True,158,187,149,164.0,зараховано
Оксана Наталіїш,False,158,166,170,164.0,зараховано
Катерина Ніниш,True,179,155,153,164.0,зараховано
Іванна Іриниш,False,188,191,105,164.0,зараховано
Дмитро Ігоріш,True,178,115,194,163.9,зараховано
Ольга Наталіїш,True,154,161,180,163.9,зараховано
Анна Іванниш,True,163,148,181,163.89999999999998,зараховано
Ніна Лідіїш,True,175,162,151,163.89999999999998,зараховано
Ганна Олександріш,False,186,198,100,163.8,зараховано
Іванна Ілляш,False,174,180,134,163.8,зараховано
Ганна Олегіш,False,183,139,163,163.8,зараховано
Максим Олексіїш,True,180,149,157,163.79999999999998,зараховано
Іванна Олександріш,True,164,144,183,163.70000000000002,зараховано
Наталія Богданіш,True,187,154,142,163.6,зараховано
Іванна Богданіш,False,172,164,152,163.6,зараховано
Ігор Тетяниш,False,175,153,159,163.6,зараховано
Дмитро Маріїш,True,172,180,136,163.6,зараховано
Тетяна Алібіба,False,171,148,169,163.5,зараховано
Богдан Богданіш,True,186,169,128,163.5,зараховано
Марія Іванниш,False,143,170,184,163.4,зараховано
Іван Анниш,False,154,147,192,163.3,зараховано
Михайло Олексіїш,False,199,155,124,163.3,зараховано
Юлія Товтиш,True,189,162,130,163.20000000000002,зараховано
Оксана Ковтун,True,183,122,178,163.20000000000002,зараховано
Тарас Людмилиш,False,162,146,182,163.2,зараховано
Іван Олександріш,True,144,160,192,163.2,зараховано
Олена Ярославіш,True,155,171,166,163.1,зараховано
Ніна Анатоліїш,False,185,134,163,163.1,зараховано
Тетяна Іриниш,False,155,186,151,163.1,зараховано
Ольга Богданіш,False,166,176,146,163.0,зараховано
Тетяна Іваниш,False,148,198,148,163.0,зараховано
Дмитро Артеміш,True,189,182,109,162.9,зараховано
Ольга Артеміш,True,191,131,157,162.8,зараховано
Петро Вікторіїш,True,185,105,191,162.8,зараховано
Олексій Михайлиш,False,176,157,151,162.8,зараховано
Артем Андріїш,True,185,183,113,162.8,зараховано
Тетяна Дмитріш,False,155,187,149,162.79999999999998,зараховано
Віктор Маріїш,False,182,102,198,162.79999999999998,зараховано
Олексій Сергіїш,True,196,157,124,162.7,зараховано
Анастасія Андріїш,True,156,168,166,162.60000000000002,зараховано
Олександр Іриниш,False,156,188,146,162.60000000000002,зараховано
Людмила Романіш,True,171,143,171,162.60000000000002,зараховано
Наталія Дмитріш,True,165,142,180,162.6,зараховано
Вікторія Олегіш,False,180,183,118,162.3,зараховано
Анна Михайлиш,True,169,150,165,162.10000000000002,зараховано
Володимир Сергіїш,True,181,148,151,162.10000000000002,зараховано
Ігор Петріш,True,178,129,174,162.1,зараховано
Андрій Анатоліїш,True,175,148,159,162.1,зараховано
Олексій Дмитришенко,True,141,176,176,162.0,зараховано
Михайло Михайлиш,True,153,168,168,162.0,зараховано
Ганна Іванниш,True,141,175,177,162.0,зараховано
Оксана Анниш,True,180,171,129,162.0,зараховано
Ніна Алібіба,False,196,117,161,161.8,зараховано
Олександр Вікторіш,False,175,170,136,161.8,зараховано
Юлія Людмилиш,False,184,148,146,161.8,зараховано
Анастасія Ігоріш,False,157,136,194,161.79999999999998,зараховано
Тетяна Катериниш,True,158,140,188,161.6,зараховано
Вікторія Оксаниш,True,187,199,190,191.5,зараховано
Тетяна Артеміш,True,190,189,193,190.6,зараховано
Ганна Оксаниш,True,192,191,187,190.20000000000002,зараховано
Олена Ковтун,True,194,196,179,190.1,зараховано
Анна Лідіїш,True,188,200,183,190.1,зараховано
Сергій Анатоліїш,True,189,183,193,188.4,зараховано
Олександр Олениш,True,185,182,197,187.7,зараховано
Ігор Неборачко,True,182,192,190,187.39999999999998,зараховано
Ганна Ілляш,True,172,193,200,186.7,зараховано
Іван Вікторіїш,True,191,197,170,186.5,зараховано
Людмила Ковтун,True,196,193,166,186.10000000000002,зараховано
Андрій Петріш,True,183,187,186,185.10000000000002,зараховано
Артем Дмитріш,True,176,181,200,184.7,зараховано
Оксана Іриниш,True,199,165,184,184.3,зараховано
Ігор Олениш,True,195,173,180,183.9,зараховано
Ярослава Людмилиш,True,190,179,180,183.7,зараховано
Олександр Ілляш,True,179,190,182,183.20000000000002,зараховано
Іванна Людмилиш,True,197,186,161,182.90000000000003,зараховано
Наталія Артеміш,True,196,183,163,182.20000000000002,зараховано
Оксана Ілляш,True,178,185,184,181.9,зараховано
Дмитро Олексіїш,True,184,176,185,181.9,зараховано
Віктор Неборачко,True,163,196,192,181.6,зараховано
Ярослав Олегіш,True,197,149,193,181.4,зараховано
Артем Анниш,True,181,177,186,181.3,зараховано
Ярослава Володимириш,True,183,172,188,181.20000000000002,зараховано
Анна Ковтун,True,172,184,189,180.7,зараховано
Марта Лідіїш,True,184,170,186,180.4,зараховано
Роман Софіїш,True,192,170,173,179.70000000000002,зараховано
Віктор Іванниш,True,159,195,191,179.39999999999998,зараховано
Ярослав Максиміш,True,197,196,137,178.70000000000002,зараховано
Ярослава Софіїш,True,185,178,171,178.7,зараховано
Марта Максиміш,True,198,136,195,178.5,зараховано
Дмитро Андріїш,True,180,187,168,178.5,зараховано
Олексій Ковтун,True,197,154,177,178.1,зараховано
Олег Ганниш,True,174,172,188,177.60000000000002,зараховано
Ярослав Олениш,True,131,200,200,172.4,незараховано
Ольга Софіїш,False,137,191,197,171.2,незараховано
Тарас Сергіїш,False,136,192,193,169.9,незараховано
Богдан Іваниш,True,138,195,187,169.8,незараховано
Віктор Ігоріш,False,135,200,186,169.8,незараховано
Іванна Катериниш,True,139,199,181,169.6,незараховано
Олексій Олексіїш,False,129,197,189,167.39999999999998,незараховано
Дмитро Анатоліїш,True,137,171,199,165.79999999999998,незараховано
Вікторія Анатоліїш,True,132,199,176,165.3,незараховано
Михайло Катериниш,True,139,193,172,165.1,незараховано
Іван Ярославіш,False,119,200,190,164.6,незараховано
Анатолій Петріш,True,129,199,177,164.4,незараховано
Оксана Людмилиш,False,135,180,188,164.4,незараховано
Андрій Вікторіїш,True,133,184,183,163.3,незараховано
Павло Ярославиш,True,125,197,180,163.1,незараховано
Сергій Катериниш,True,131,177,188,161.9,незараховано
Анастасія Романіш,False,187,141,148,161.5,незараховано
Сергій Іваниш,False,181,176,121,161.5,незараховано
Катерина Дмитріш,False,184,150,143,161.5,незараховано
Роман Михайлиш,True,151,158,179,161.5,незараховано
Андрій Софіїш,False,147,195,147,161.4,незараховано
Олена Софіїш,True,170,184,127,161.29999999999998,незараховано
Павло Андріїш,False,185,174,117,161.29999999999998,незараховано
Софія Олениш,True,199,108,164,161.2,незараховано
Ніна Людмилиш,True,139,181,171,161.2,незараховано
Ольга Ярославиш,False,139,184,168,161.2,незараховано
Ілля Ілляш,True,135,165,192,161.1,незараховано
Олена Олениш,True,159,145,180,161.1,незараховано
Софія Ігоріш,True,162,197,124,161.1,незараховано
Олег Ковтун,False,161,169,153,161.0,незараховано
Сергій Богданіш,True,143,197,149,161.0,незараховано
Софія Катериниш,True,179,121,177,161.0,незараховано
Ірина Людмилиш,True,170,163,147,161.0,незараховано
Артем Ярославиш,True,155,130,200,161.0,незараховано
Марія Олегіш,True,169,200,111,160.9,незараховано
Анастасія Тетяниш,True,127,183,184,160.9,незараховано
Андрій Іваниш,False,189,124,160,160.8,незараховано
Анна Артеміш,True,111,196,192,160.8,незараховано
Андрій Андріїш,False,171,140,168,160.8,незараховано
Михайло Товтиш,False,197,143,130,160.70000000000002,незараховано
Олена Ніниш,True,170,194,115,160.7,незараховано
Петро Олениш,True,184,189,101,160.60000000000002,незараховано
Роман Товтиш,True,157,169,157,160.6,незараховано
Ганна Вікторіш,False,190,147,135,160.6,незараховано
Богдан Анатоліїш,True,122,182,190,160.4,незараховано
Артем Вікторіїш,False,191,104,176,160.4,незараховано
Павло Маріїш,False,137,185,167,160.4,незараховано
Марта Софіїш,True,188,165,119,160.4,незараховано
Тарас Ігоріш,False,161,136,184,160.4,незараховано
Олена Неборачко,True,148,150,187,160.3,незараховано
Тетяна Тарасіш,False,139,194,155,160.3,незараховано
Олексій Ніниш,True,166,171,142,160.3,незараховано
Лідія Ігоріш,True,195,171,103,160.20000000000002,незараховано
Ганна Ярославіш,False,195,108,166,160.2,незараховано
Софія Іваниш,True,177,179,119,160.2,незараховано
Ірина Артеміш,False,148,193,143,160.0,незараховано
Олександр Олександріш,True,169,169,139,160.0,незараховано
Анатолій Олениш,True,100,200,200,160.0,незараховано
Олександр Олегіш,True,198,104,165,159.9,незараховано
Роман Артеміш,False,158,199,123,159.8,незараховано
Наталія Ковтун,False,175,180,119,159.7,незараховано
Максим Товтиш,False,180,105,187,159.6,незараховано
Андрій Ковтун,False,162,135,181,159.6,незараховано
Павло Іриниш,False,186,117,167,159.6,незараховано
Володимир Олегіш,True,165,149,163,159.6,незараховано
Ілля Дмитріш,False,183,113,175,159.6,незараховано
Ярослав Ковтун,True,171,111,193,159.6,незараховано
Ганна Наталіїш,True,171,157,147,159.6,незараховано
Михайло Ярославіш,False,173,126,175,159.5,незараховано
Максим Оксаниш,False,143,183,158,159.5,незараховано
Ярослав Романіш,True,158,127,194,159.5,незараховано
Ірина Ганниш,True,136,178,172,159.4,незараховано
Вікторія Софіїш,True,145,145,193,159.4,незараховано
Лідія Дмитришенко,False,163,191,123,159.4,незараховано
Максим Володимириш,False,142,146,196,159.39999999999998,незараховано
Павло Сергіїш,True,190,132,146,159.39999999999998,незараховано
Максим Максиміш,False,145,162,176,159.39999999999998,незараховано
Тарас Олексіїш,True,171,200,103,159.3,незараховано
Анастасія Дмитріш,True,147,149,186,159.3,незараховано
Іван Неборачко,False,180,112,179,159.29999999999998,незараховано
Вікторія Іваниш,True,125,183,181,159.2,незараховано
Володимир Іваниш,True,143,180,160,159.2,незараховано
Ніна Вікторіш,True,100,198,199,159.1,незараховано
Ольга Тетяниш,False,139,163,182,159.1,незараховано
Володимир Романіш,False,139,198,147,159.1,незараховано
Олександр Маріїш,True,174,193,105,159.0,незараховано
Ярослав Товтиш,True,168,148,158,159.0,незараховано
Лідія Ковтун,False,180,149,141,159.0,незараховано
Віктор Михайлиш,True,111,199,183,159.0,незараховано
Володимир Тарасіш,True,183,172,114,159.0,незараховано
Ірина Наталіїш,False,134,153,198,158.9,незараховано
Марта Петріш,True,196,137,131,158.8,незараховано
Катерина Сергіїш,False,112,185,195,158.8,незараховано
Сергій Дмитріш,True,172,125,175,158.8,незараховано
Віктор Сергіїш,False,187,114,166,158.8,незараховано
Ірина Романіш,False,192,153,120,158.70000000000002,незараховано
Ярослава Михайлиш,False,129,171,186,158.7,незараховано
Лідія Володимириш,False,183,170,115,158.7,незараховано
Дмитро Алібіба,False,134,162,188,158.6,незараховано
Іванна Максиміш,True,181,132,155,158.5,незараховано
Ольга Ігоріш,False,136,160,187,158.5,незараховано
Софія Вікторіш,True,124,175,188,158.5,незараховано
Ігор Маріїш,True,192,150,122,158.4,незараховано
Віктор Катериниш,False,162,142,170,158.4,незараховано
Ганна Тетяниш,False,183,165,119,158.4,незараховано
Дмитро Ніниш,False,144,160,176,158.39999999999998,незараховано
Анастасія Іриниш,False,134,186,163,158.3,незараховано
Анатолій Олександріш,False,161,182,131,158.3,незараховано
Віктор Богданіш,False,197,117,148,158.3,незараховано
Павло Максиміш,True,146,163,170,158.3,незараховано
Максим Тетяниш,False,149,140,189,158.29999999999998,незараховано
Дмитро Романіш,True,170,142,159,158.29999999999998,незараховано
Артем Олексіїш,False,151,135,191,158.2,незараховано
Оксана Максиміш,True,183,165,118,158.1,незараховано
Роман Вікторіїш,False,180,171,116,158.1,незараховано
Олексій Оксаниш,False,117,173,198,158.1,незараховано
Роман Ярославіш,False,128,173,183,158.0,незараховано
Петро Ковтун,False,128,193,163,158.0,незараховано
Олег Катериниш,False,131,193,159,158.0,незараховано
Олександр Ганниш,False,125,191,169,158.0,незараховано
Ніна Сергіїш,False,158,157,159,158.0,незараховано
Михайло Анниш,False,109,198,183,157.9,незараховано
Олена Анатоліїш,False,181,115,170,157.9,незараховано
Артем Романіш,True,148,167,162,157.9,незараховано
Ніна Тетяниш,True,169,200,101,157.9,незараховано
Софія Людмилиш,True,157,131,186,157.89999999999998,незараховано
Вікторія Олексіїш,True,174,104,190,157.8,незараховано
Вікторія Іванниш,True,189,167,107,157.8,незараховано
Володимир Ніниш,True,191,122,149,157.7,незараховано
Марта Дмитріш,True,188,169,106,157.7,незараховано
Тарас Ілляш,True,191,166,105,157.7,незараховано
Максим Олегіш,True,148,167,161,157.60000000000002,незараховано
Наталія Петріш,False,187,152,124,157.6,незараховано
Наталія Оксаниш,False,118,193,175,157.6,незараховано
Сергій Тетяниш,True,193,153,115,157.6,незараховано
Анастасія Артеміш,True,172,128,168,157.6,незараховано
Ірина Дмитришенко,True,142,196,140,157.6,незараховано
Наталія Максиміш,True,144,133,200,157.5,незараховано
Дмитро Дмитріш,False,189,143,130,157.5,незараховано
Сергій Загвойко,True,182,105,177,157.4,незараховано
Катерина Іриниш,False,148,186,141,157.3,незараховано
Софія Максиміш,False,190,113,158,157.3,незараховано
Марія Вікторіїш,True,178,162,125,157.3,незараховано
Максим Алібіба,False,181,128,155,157.3,незараховано
